V1,location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label
1,561,22,33,32,"1,31,32,33",3,1,1,4,Armenia,Armenia,Armenia,2,admin0,ARM,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,ARM,ARM,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Armenia
2,561,22,34,32,"1,31,32,34",3,1,1,5,Azerbaijan,Azerbaijan,Azerbaijan,2,admin0,AZE,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,AZE,AZE,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Azerbaijan
3,561,22,35,32,"1,31,32,35",3,1,1,6,Georgia,Georgia,Georgia,2,admin0,GEO,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,GEO,GEO,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Georgia
4,561,22,36,32,"1,31,32,36",3,1,1,7,Kazakhstan,Kazakhstan,Kazakhstan,2,admin0,KAZ,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,KAZ,KAZ,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Kazakhstan
5,561,22,37,32,"1,31,32,37",3,1,1,8,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,2,admin0,KGZ,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,KGZ,KGZ,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Kyrgyzstan
6,561,22,38,32,"1,31,32,38",3,1,1,9,Mongolia,Mongolia,Mongolia,2,admin0,MNG,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,MNG,MNG,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Mongolia
7,561,22,39,32,"1,31,32,39",3,1,1,10,Tajikistan,Tajikistan,Tajikistan,2,admin0,TJK,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,TJK,TJK,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Tajikistan
8,561,22,40,32,"1,31,32,40",3,1,1,11,Turkmenistan,Turkmenistan,Turkmenistan,2,admin0,TKM,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,TKM,TKM,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Turkmenistan
9,561,22,41,32,"1,31,32,41",3,1,1,12,Uzbekistan,Uzbekistan,Uzbekistan,2,admin0,UZB,31,"Central Europe, Eastern Europe, and Central Asia",32,Central Asia,UZB,UZB,0,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Uzbekistan
10,561,22,43,42,"1,31,42,43",3,1,1,14,Albania,Albania,Albania,2,admin0,ALB,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,ALB,ALB,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Albania
11,561,22,44,42,"1,31,42,44",3,1,1,15,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,2,admin0,BIH,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,BIH,BIH,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Bosnia and Herzegovina
12,561,22,45,42,"1,31,42,45",3,1,1,16,Bulgaria,Bulgaria,Bulgaria,2,admin0,BGR,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,BGR,BGR,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Bulgaria
13,561,22,46,42,"1,31,42,46",3,1,1,17,Croatia,Croatia,Croatia,2,admin0,HRV,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,HRV,HRV,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Croatia
14,561,22,47,42,"1,31,42,47",3,1,1,18,Czechia,Czechia,Czechia,2,admin0,CZE,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,CZE,CZE,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Czech Republic
15,561,22,48,42,"1,31,42,48",3,1,1,19,Hungary,Hungary,Hungary,2,admin0,HUN,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,HUN,HUN,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Hungary
16,561,22,50,42,"1,31,42,50",3,1,1,20,Montenegro,Montenegro,Montenegro,2,admin0,MNE,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,MNE,MNE,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Montenegro
17,561,22,49,42,"1,31,42,49",3,1,1,21,North Macedonia,North Macedonia,North Macedonia,2,admin0,MKD,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,MKD,MKD,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,North Macedonia
18,561,22,51,42,"1,31,42,51",3,1,0,22,Poland,Poland,Poland,2,admin0,POL,31,"Central Europe, Eastern Europe, and Central Asia",42,Central Europe,POL,POL,1,2019-10-22 14:05:01,,2019-10-22 14:05:01,2019-10-22 14:05:01,cathc19,INSERT,Poland
